time,shipX,shipY,cameraX,cameraY,deltaCameraX,deltaCameraY
1.1267,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.1381,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.1728,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.1880,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.2051,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.2214,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.2381,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.2547,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.2715,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.2879,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3046,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3207,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3380,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3544,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3709,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3877,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4042,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4215,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4382,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4544,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4709,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4881,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5047,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5210,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5383,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5547,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5710,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5873,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6044,350.0000,699.8679,480.0000,677.0000,0.0000,0.0000
1.6209,350.0000,699.6068,480.0000,677.0000,0.0000,0.0000
1.6377,350.0000,699.2227,480.0000,677.0000,0.0000,0.0000
1.6543,350.0000,698.7246,480.0000,677.0000,0.0000,0.0000
1.6710,350.0000,698.1061,480.0000,677.0000,0.0000,0.0000
1.6879,350.0000,697.3830,480.0000,677.0000,0.0000,0.0000
1.7049,350.0000,696.5506,480.0000,677.0000,0.0000,0.0000
1.7212,350.0000,695.6358,480.0000,677.0000,0.0000,0.0000
1.7382,350.0000,694.6144,480.0000,677.0000,0.0000,0.0000
1.7548,350.0000,693.5016,480.0000,677.0000,0.0000,0.0000
1.7712,350.0000,692.3164,480.0000,677.0000,0.0000,0.0000
1.7880,350.0000,691.0327,480.0000,677.0000,0.0000,0.0000
1.8046,350.0000,689.6684,480.0000,677.0000,0.0000,0.0000
1.8209,350.0000,688.2267,480.0000,677.0000,0.0000,0.0000
1.8375,350.0000,686.7298,480.0000,677.0000,0.0000,0.0000
1.8542,350.0000,685.1437,480.0000,677.0000,0.0000,0.0000
1.8708,350.0000,683.4894,480.0000,677.0000,0.0000,0.0000
1.8881,350.0000,681.7698,480.0000,677.0000,0.0000,0.0000
1.9049,350.0000,679.9544,480.0000,677.0000,0.0000,0.0000
1.9214,350.0000,678.1224,480.0000,677.0000,0.0000,0.0000
1.9378,350.0000,676.2569,480.0000,677.0000,0.0000,0.0000
1.9545,350.0000,674.2900,480.0000,677.0000,0.0000,0.0000
1.9706,350.0000,672.3188,480.0000,677.0000,0.0000,0.0000
1.9882,350.0000,670.2104,480.0000,677.0000,0.0000,0.0000
2.0048,350.0000,668.1155,480.0000,677.0000,0.0000,0.0000
2.0214,350.0000,665.9482,480.0000,677.0000,0.0000,0.0000
2.0376,350.0000,663.8027,480.0000,677.0000,0.0000,0.0000
2.0543,350.0000,661.5617,480.0000,677.0000,0.0000,0.0000
2.0711,350.0000,659.2795,480.0000,677.0000,0.0000,0.0000
2.0878,350.0000,656.9721,480.0000,677.0000,0.0000,0.0000
2.1050,350.0000,654.6129,480.0000,677.0000,0.0000,0.0000
2.1212,350.0000,652.2321,480.0000,677.0000,0.0000,0.0000
2.1379,350.0000,649.8021,480.0000,677.0000,0.0000,0.0000
2.1548,350.0000,647.2492,480.0000,677.0000,0.0000,0.0000
2.1713,350.0000,644.8587,480.0000,677.0000,0.0000,0.0000
2.1877,350.0000,642.3330,480.0000,677.0000,0.0000,0.0000
2.2045,350.0000,639.7779,480.0000,677.0000,0.0000,0.0000
2.2215,350.0000,637.1479,480.0000,677.0000,0.0000,0.0000
2.2379,350.0000,634.6003,480.0000,677.0000,0.0000,0.0000
2.2547,350.0000,631.9643,480.0000,677.0000,0.0000,0.0000
2.2713,350.0000,629.2714,480.0000,677.0000,0.0000,0.0000
2.2883,350.0000,626.6190,480.0000,677.0000,0.0000,0.0000
2.3041,350.0000,623.9280,480.0000,677.0000,0.0000,0.0000
2.3213,350.0000,621.1495,480.0000,677.0000,0.0000,0.0000
2.3375,350.0000,618.4820,480.0000,677.0000,0.0000,0.0000
2.3548,350.0000,615.6452,480.0000,677.0000,0.0000,0.0000
2.3712,350.0000,612.9060,480.0000,677.0000,0.0000,0.0000
2.3879,350.0000,610.1320,480.0000,677.0000,0.0000,0.0000
2.4044,350.0000,607.3066,480.0000,677.0000,0.0000,0.0000
2.4215,350.0000,604.4300,480.0000,676.6374,0.0000,-0.3626
2.4379,350.0000,601.5884,480.0000,675.9367,0.0000,-0.7007
2.4549,350.0000,598.6449,480.0000,674.8966,0.0000,-1.0401
2.4715,350.0000,595.8248,480.0000,673.6588,0.0000,-1.2378
2.4879,350.0000,592.9386,480.0000,672.1711,0.0000,-1.4877
2.5048,350.0000,590.0388,480.0000,670.4874,0.0000,-1.6837
2.5213,350.0000,587.0731,480.0000,668.5947,0.0000,-1.8927
2.5377,350.0000,584.1829,480.0000,666.6170,0.0000,-1.9776
2.5542,350.0000,581.2454,480.0000,664.4838,0.0000,-2.1332
2.5708,350.0000,578.2964,480.0000,662.2374,0.0000,-2.2464
2.5878,350.0000,575.2292,480.0000,659.7982,0.0000,-2.4392
2.6048,350.0000,572.2045,480.0000,657.3158,0.0000,-2.4824
2.6209,350.0000,569.3313,480.0000,654.9038,0.0000,-2.4119
2.6378,350.0000,566.3227,480.0000,652.3108,0.0000,-2.5930
2.6543,350.0000,563.3046,480.0000,649.6585,0.0000,-2.6523
2.6712,350.0000,560.2412,480.0000,646.9188,0.0000,-2.7397
2.6876,350.0000,557.2600,480.0000,644.2211,0.0000,-2.6977
2.7047,350.0000,554.1794,480.0000,641.3933,0.0000,-2.8278
2.7214,350.0000,551.1457,480.0000,638.5834,0.0000,-2.8099
2.7381,350.0000,548.0126,480.0000,635.6492,0.0000,-2.9343
2.7549,350.0000,544.9640,480.0000,632.7786,0.0000,-2.8706
2.7707,350.0000,542.0005,480.0000,629.9758,0.0000,-2.8028
2.7878,350.0000,538.9383,480.0000,627.0563,0.0000,-2.9195
2.8049,350.0000,535.7402,480.0000,623.9829,0.0000,-3.0734
2.8208,350.0000,532.7581,480.0000,621.1198,0.0000,-2.8630
2.8378,350.0000,529.6775,480.0000,618.1442,0.0000,-2.9757
2.8544,350.0000,526.5541,480.0000,615.1146,0.0000,-3.0296
2.8713,350.0000,523.4065,480.0000,612.0516,0.0000,-3.0630
2.8875,350.0000,520.3470,480.0000,609.0732,0.0000,-2.9784
2.9045,350.0000,517.1704,480.0000,605.9659,0.0000,-3.1074
2.9216,350.0000,514.0076,480.0000,602.8676,0.0000,-3.0983
2.9380,350.0000,510.9339,480.0000,599.8578,0.0000,-3.0098
2.9547,350.0000,507.7995,480.0000,596.7795,0.0000,-3.0782
2.9715,350.0000,504.6234,480.0000,593.6534,0.0000,-3.1262
2.9875,350.0000,501.6125,480.0000,590.6974,0.0000,-2.9560
3.0040,350.0000,498.4848,480.0000,587.6148,0.0000,-3.0826
