time,shipX,shipY,cameraX,cameraY,deltaCameraX,deltaCameraY
1.2304,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.2455,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.2787,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.2803,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.2953,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3118,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3284,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3458,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3625,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3790,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3952,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4118,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4284,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4448,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4620,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4790,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4949,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5116,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5289,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5454,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5615,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5783,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5954,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6122,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6282,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6458,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6617,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6788,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6946,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.7113,350.0000,699.8381,480.0000,677.0000,0.0000,0.0000
1.7283,350.0000,699.5124,480.0000,677.0000,0.0000,0.0000
1.7456,350.0000,699.0212,480.0000,677.0000,0.0000,0.0000
1.7617,350.0000,698.4138,480.0000,677.0000,0.0000,0.0000
1.7780,350.0000,697.6569,480.0000,677.0000,0.0000,0.0000
1.7951,350.0000,696.7549,480.0000,677.0000,0.0000,0.0000
1.8122,350.0000,695.7364,480.0000,677.0000,0.0000,0.0000
1.8280,350.0000,694.5959,480.0000,677.0000,0.0000,0.0000
1.8453,350.0000,693.3301,480.0000,677.0000,0.0000,0.0000
1.8619,350.0000,691.9241,480.0000,677.0000,0.0000,0.0000
1.8787,350.0000,690.4342,480.0000,677.0000,0.0000,0.0000
1.8950,350.0000,688.8603,480.0000,677.0000,0.0000,0.0000
1.9124,350.0000,687.1245,480.0000,677.0000,0.0000,0.0000
1.9278,350.0000,685.4123,480.0000,677.0000,0.0000,0.0000
1.9448,350.0000,683.5332,480.0000,677.0000,0.0000,0.0000
1.9618,350.0000,681.5290,480.0000,677.0000,0.0000,0.0000
1.9787,350.0000,679.4886,480.0000,677.0000,0.0000,0.0000
1.9955,350.0000,677.3681,480.0000,677.0000,0.0000,0.0000
2.0119,350.0000,675.1435,480.0000,677.0000,0.0000,0.0000
2.0283,350.0000,672.9000,480.0000,677.0000,0.0000,0.0000
2.0452,350.0000,670.5295,480.0000,677.0000,0.0000,0.0000
2.0623,350.0000,667.9853,480.0000,677.0000,0.0000,0.0000
2.0779,350.0000,665.6600,480.0000,677.0000,0.0000,0.0000
2.0945,350.0000,663.1077,480.0000,677.0000,0.0000,0.0000
2.1113,350.0000,660.5111,480.0000,677.0000,0.0000,0.0000
2.1282,350.0000,657.8246,480.0000,677.0000,0.0000,0.0000
2.1457,350.0000,654.9988,480.0000,677.0000,0.0000,0.0000
2.1620,350.0000,652.3026,480.0000,677.0000,0.0000,0.0000
2.1782,350.0000,649.5066,480.0000,677.0000,0.0000,0.0000
2.1948,350.0000,646.6454,480.0000,677.0000,0.0000,0.0000
2.2116,350.0000,643.7022,480.0000,677.0000,0.0000,0.0000
2.2285,350.0000,640.7678,480.0000,677.0000,0.0000,0.0000
2.2447,350.0000,637.7546,480.0000,677.0000,0.0000,0.0000
2.2615,350.0000,634.7186,480.0000,677.0000,0.0000,0.0000
2.2783,350.0000,631.6247,480.0000,677.0000,0.0000,0.0000
2.2956,350.0000,628.4929,480.0000,677.0000,0.0000,0.0000
2.3124,350.0000,625.2096,480.0000,677.0000,0.0000,0.0000
2.3283,350.0000,622.1215,480.0000,677.0000,0.0000,0.0000
2.3455,350.0000,618.8457,480.0000,677.0000,0.0000,0.0000
2.3621,350.0000,615.5964,480.0000,677.0000,0.0000,0.0000
2.3783,350.0000,612.3564,480.0000,677.0000,0.0000,0.0000
2.3954,350.0000,609.0077,480.0000,677.0000,0.0000,0.0000
2.4118,350.0000,605.6708,480.0000,676.8155,0.0000,-0.1845
2.4282,350.0000,602.3071,480.0000,676.1899,0.0000,-0.6257
2.4449,350.0000,598.8560,480.0000,675.1551,0.0000,-1.0348
2.4618,350.0000,595.4622,480.0000,673.8175,0.0000,-1.3376
2.4780,350.0000,592.0451,480.0000,672.1929,0.0000,-1.6246
2.4952,350.0000,588.5426,480.0000,670.2774,0.0000,-1.9155
2.5122,350.0000,584.8703,480.0000,668.0323,0.0000,-2.2452
2.5286,350.0000,581.4297,480.0000,665.7669,0.0000,-2.2654
2.5456,350.0000,577.9911,480.0000,663.3553,0.0000,-2.4116
2.5621,350.0000,574.3627,480.0000,660.6608,0.0000,-2.6945
2.5789,350.0000,570.7583,480.0000,657.8680,0.0000,-2.7928
2.5952,350.0000,567.2441,480.0000,655.0539,0.0000,-2.8141
2.6118,350.0000,563.6483,480.0000,652.0833,0.0000,-2.9706
2.6285,350.0000,559.9490,480.0000,648.9431,0.0000,-3.1402
2.6447,350.0000,556.3870,480.0000,645.8654,0.0000,-3.0777
2.6616,350.0000,552.7225,480.0000,642.6358,0.0000,-3.2296
2.6788,350.0000,549.0436,480.0000,639.3435,0.0000,-3.2923
2.6951,350.0000,545.3731,480.0000,636.0170,0.0000,-3.3265
2.7117,350.0000,541.6672,480.0000,632.6190,0.0000,-3.3980
2.7289,350.0000,537.8370,480.0000,629.0649,0.0000,-3.5541
2.7452,350.0000,534.2403,480.0000,625.7163,0.0000,-3.3486
2.7617,350.0000,530.4979,480.0000,622.1971,0.0000,-3.5192
2.7782,350.0000,526.7443,480.0000,618.6451,0.0000,-3.5519
2.7949,350.0000,523.0025,480.0000,615.0866,0.0000,-3.5586
2.8115,350.0000,519.2279,480.0000,611.4780,0.0000,-3.6086
2.8289,350.0000,515.4662,480.0000,607.8682,0.0000,-3.6098
2.8452,350.0000,511.6040,480.0000,604.1421,0.0000,-3.7261
2.8618,350.0000,507.8010,480.0000,600.4662,0.0000,-3.6759
2.8782,350.0000,504.0578,480.0000,596.8423,0.0000,-3.6239
2.8949,350.0000,500.2607,480.0000,593.1534,0.0000,-3.6889
2.9123,350.0000,496.2950,480.0000,589.2809,0.0000,-3.8726
2.9283,350.0000,492.6201,480.0000,585.7053,0.0000,-3.5755
2.9453,350.0000,488.6851,480.0000,581.8511,0.0000,-3.8542
2.9620,350.0000,484.9273,480.0000,578.1774,0.0000,-3.6737
2.9788,350.0000,481.0012,480.0000,574.3219,0.0000,-3.8555
2.9947,350.0000,477.2305,480.0000,570.6254,0.0000,-3.6965
3.0121,350.0000,473.3379,480.0000,566.7963,0.0000,-3.8291
3.0282,350.0000,469.5089,480.0000,563.0306,0.0000,-3.7657
3.0452,350.0000,465.5813,480.0000,559.1576,0.0000,-3.8730
3.0618,350.0000,461.7413,480.0000,555.3741,0.0000,-3.7834
3.0786,350.0000,457.8495,480.0000,551.5331,0.0000,-3.8411
3.0949,350.0000,453.9760,480.0000,547.7088,0.0000,-3.8242
3.1117,350.0000,450.0744,480.0000,543.8524,0.0000,-3.8564
3.1282,350.0000,446.1915,480.0000,540.0138,0.0000,-3.8387
3.1454,350.0000,442.1403,480.0000,535.9949,0.0000,-4.0189
3.1612,350.0000,438.3895,480.0000,532.2926,0.0000,-3.7022
3.1782,350.0000,434.4470,480.0000,528.3852,0.0000,-3.9074
3.1953,350.0000,430.5241,480.0000,524.4972,0.0000,-3.8880
3.2115,350.0000,426.6210,480.0000,520.6287,0.0000,-3.8685
3.2287,350.0000,422.5966,480.0000,516.6301,0.0000,-3.9986
3.2450,350.0000,418.7571,480.0000,512.8269,0.0000,-3.8032
3.2619,350.0000,414.7730,480.0000,508.8686,0.0000,-3.9583
3.2788,350.0000,410.9272,480.0000,505.0561,0.0000,-3.8125
3.2949,350.0000,406.9604,480.0000,501.1136,0.0000,-3.9425
3.3120,350.0000,402.9907,480.0000,497.1672,0.0000,-3.9463
3.3286,350.0000,399.0418,480.0000,493.2423,0.0000,-3.9249
3.3451,350.0000,395.0666,480.0000,489.2886,0.0000,-3.9537
3.3616,350.0000,391.2072,480.0000,485.4570,0.0000,-3.8316
3.3786,350.0000,387.1796,480.0000,481.4453,0.0000,-4.0117
3.3951,350.0000,383.2918,480.0000,477.5819,0.0000,-3.8633
3.4116,350.0000,379.3306,480.0000,473.6395,0.0000,-3.9425
3.4287,350.0000,375.3910,480.0000,469.7193,0.0000,-3.9202
3.4449,350.0000,371.4255,480.0000,465.7709,0.0000,-3.9484
3.4620,350.0000,367.3631,480.0000,461.7187,0.0000,-4.0521
3.4783,350.0000,363.5127,480.0000,457.8920,0.0000,-3.8267
3.4954,350.0000,359.5177,480.0000,453.9104,0.0000,-3.9816
3.5122,350.0000,355.5924,480.0000,450.0025,0.0000,-3.9079
3.5289,350.0000,351.5226,480.0000,445.9401,0.0000,-4.0624
3.5455,350.0000,347.5941,480.0000,442.0283,0.0000,-3.9118
3.5624,350.0000,343.5211,480.0000,437.9620,0.0000,-4.0663
3.5786,350.0000,339.6372,480.0000,434.0972,0.0000,-3.8648
3.5948,350.0000,335.7519,480.0000,430.2295,0.0000,-3.8676
3.6116,350.0000,331.7698,480.0000,426.2580,0.0000,-3.9716
3.6284,350.0000,327.7627,480.0000,422.2594,0.0000,-3.9986
3.6450,350.0000,323.8258,480.0000,418.3356,0.0000,-3.9238
3.6615,350.0000,319.8400,480.0000,414.3590,0.0000,-3.9766
3.6784,350.0000,315.8530,480.0000,410.3810,0.0000,-3.9780
3.6957,350.0000,311.8173,480.0000,406.3507,0.0000,-4.0303
3.7121,350.0000,307.8282,480.0000,402.3704,0.0000,-3.9803
3.7286,350.0000,303.8620,480.0000,398.4141,0.0000,-3.9563
3.7456,350.0000,299.7515,480.0000,394.3035,0.0000,-4.1106
3.7622,350.0000,295.8790,480.0000,390.4472,0.0000,-3.8563
3.7786,350.0000,291.8623,480.0000,386.4360,0.0000,-4.0112
3.7955,350.0000,287.8924,480.0000,382.4749,0.0000,-3.9611
3.8120,350.0000,283.9935,480.0000,378.5887,0.0000,-3.8862
