time,shipX,shipY,cameraX,cameraY,deltaCameraX,deltaCameraY
1.3043,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3198,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3484,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3525,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3696,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.3862,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4033,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4202,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4358,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4530,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4691,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.4864,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5032,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5198,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5364,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5523,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5692,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.5865,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6031,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6193,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6362,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6526,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6693,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.6866,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.7024,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.7200,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.7359,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.7527,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
1.7699,350.0000,700.0000,480.0000,677.0000,0.0000,0.0000
